Emotion,Text
sadness, lot pressure  boss pushy  assigned projects  deadlines near  finished projects 
sadness,Sink broken 2night: going lambnow pbj
sadness,apparently lost bestfriend
fear,“  shakiest 14point lead history college football” lol
fear,People trapped elevator actually stairs time let wear  #quote #life
sadness,rarely desperate need talk to Tonight nights sleeping Im loss
sadness,Sr HS class counselors died hepatitis sensitive knew shyness drew improve image missed funeral  publically grieve parents understand
surprise,Good Morning Store Today #EnjoyTheDay
neutral,motherinlaw thing  disciplining  disciplining  complained food fed  schools sent  sun 
joy,feeling awesome 
joy,  brings  Ive bought Christmas presents trawl loads shops :)
surprise,forgot hair red looked mirror
fear,heard father found letter boyfriend calling talk it
fear,results seeing walk situation w/o LORD FAITH realizing gets b4 do
fear,shot horrified look 
neutral, think  started talking  found extremely funny witty  stop laughing jokes  common  like team  music  amazingly  love Chinese food  feeling going great friends 
fear,applicable myself
joy,shit pants Pure 100% gravy
joy,life  Leopold truly happy : hopes prayers beloved son come fruition 
fear,years ago saw film TV makes afraid
joy,Class jamming paper quarter reason celebrate though Studying begin right after
sadness,NOOOOOO pongan super torpe las 9 de la mañana entendemos que nadie lo ve pero yo sí voy levantar para verlo
fear,Seeing stray dog run right pass Morehouse campus
neutral,
anger,effect smoking reefer
fear,12 years old frequently pursued got sound thrashes
fear,“  team hot         yes sir
fear,Dad  Im scared 
joy,cant wait sleep tomorrow study tonight tomorrow night oh 3 essays due
anger,juvenile emotion simple minded creature express
anger,Suppressing annoyance called  Little Sara   replied 
joy,time unpack finish homework
surprise,Stopped today gas small town attendant came tell quotwe #service young #tweeters clue
surprise,Cant wait   open christmas prezzie #christmas
surprise,Decorating entire house christmas cheer mommy
anger,Sly left feeling absolutely livid 
surprise,Iemand nog surprise idee voor een vrouw
disgust,  Im sorry blanket comfortable you kid #hehasfeelingstoo eats scabs
anger,left student newspaper Chinese university table library disappeared came back
joy,choral concert appeared solist concert5 good forgot hard work before remained undescribable joy feeling warmth security etc
fear,  Girl picture book Twitter pics lol Nah itor tried lol
surprise,trouble comes realise gone watching reruns living one #oh
sadness,glanced  saw Auguste s anguished eyes  thought understood 
joy,world cant happiness lot longer #GoFigure
anger,dipped cotton wool water dabbed livid puffy eyes 
sadness, sad afforded welcome given Beirut hostages   told deeply moved audience AGM month 
joy,Oh early morning preachings father
joy,robbed tribulation u hav entered means provided Joy #prayer Communion w God
surprise,  thought Id stop SPEND CHRISTMAS HOLIDAYS LAKE Miss you
joy,Good morning  Jim 
fear,afraid tomorrow saw yesterday love today #less
anger,soud like neighbours hell 
joy,chris Paul sum goes clippers Idk Ill lose
surprise,chocomousse vergt 175 ml slagroom dat heb ik dus niet huis  en je moet het met de hand kloppen niet met een mixer kansloos
sadness,time lost badminton match Zambia closed badminton championships
joy,advertisements appeared Novoye Russkoye weekend  causing buzz excitement Soviet expatriate enclave Brighton Beach  known Little Odessa 
fear,#anxiety lifted think Im going pass #statistics maybe half decent Got 90% #exam
joy,Thrilled reunite best friend today raining find way theater dance downtown
sadness,brand  Im afraid 
fear,wait till factor LOVE SHOW Missed watching :)
joy,Study day tomorrow day Saturday Sunday
neutral,
sadness,saw Summer Shandy box Aunts fridge Liene found
fear,Nearly year later Im driving freeways rush hour fear conquered #confidence Feels great
sadness,voice shook  face white anguish 
sadness,going loner target panache hob lob
joy,normally push heart rate pulse racing alcohol  dancing general party excitement increase noticeable normal 
anger,teachers suspicious popularity  annoyed lack interest academic work infuriated achieve high marks examinations 
anger,broke artistic work weeks Changes broken permission right this
surprise,Net halfuur bezig geweest bij de kraan om de lijm erg te krijgen #Dinnetjes
joy,Took nap hours watching Christmas movies
sadness,owner  mean heartbreak loss family pet 
fear,Tiens de la taurine dans les croquettes Friskies chat dintérieur #miaou
anger,impossible  cheated 
sadness,afternoon nap me burning episodes DVD prepare Stu Hard Drives reformat :(
joy,ill working 9pm6am black Friday
neutral,
fear,home sleeping heard robbers breaking house
sadness,  WANT ENGLISH BULLDOG PUPPY
anger,disappointed actually consider Taylor Swift role Eponine movie version Les Mis
joy,  wish saw Church highlight Christmas
disgust,linked poor performance exodus West 330000 East Germans disgruntled Communism 
sadness,expression community sympathy local children South Ronaldsay sent cards devastated mothers 
sadness,3:30am guy friend gonna come window fell asleep came :(
sadness,2 amp = pleasant wonderful #memories right now #xA#recovery #survivors #stopabuse #ptsd #livefree
joy,people bring joy go people bring joy go— Mark Twain
joy,yaay brother said hell play badminton tomorrow :D
neutral,better prepare examination 
joy,Going concert
fear,public disquiet  questions Commons enquiry ordered Jeffrey s whereabouts 
anger,informed flatmate that wed moved flat shed expected buy food separetely  event actually happened 5 months sharing began Prior this said nothing
fear,«  afraid tomorrow seen yesterday love today #less»
anger,impression arouse anger see angry respects ~Richard M Nixon
joy,things  morning  swimming boating  afternoon  play basketball tennis  sit camp fire nightWe sing tell stories 
joy,Arabic coffee happy
fear,feel afraid way great friend looks me little afraid directions going
surprise,Met zn 4en Sint gekeken nu lekker slapen en morgen surprise weggeven en ontvangen Lopik
joy,Morning tweeps Hope guys great filled #happyness
joy,received year results year involved lot work pleased got results
sadness,got history class semestre
surprise,quotIm gonna love you Till stars fall sky Iquot
anger,terrible  furious  impotent anger filled  making want strike  shout scream 
sadness,day spent bed life
fear,Concered hights today Went way climbing Sooo proud beat enrique quad biking:D love girls x
anger,soldier quarrelled commander revenge detailed duty successive nights Naturally checked second night found asleep sent cells
surprise,Getting ready baby shower work Heres hoping work following twitter hahaha Surprise
neutral,
joy,Lady concert   sketchy people
neutral,beach
sadness,want Sheila know appreciate kindness shown earlier mood despondency 
neutral,school 
anger, check weight  Im getting fatter 
fear,Dnt believe lies look eyes plz dnt b scared me miss deep #Drake
joy,passed form exams
anger,laughed  nt feel offended 
joy,throat fire guess ill going doctor tomorrow news tonight successful night(: praise God 
neutral,Yes  good informative  think people underestimate value TV education 
fear,strong #Darkness strong #Soul pure bright brave beam light
fear,Steven  
joy,meeting old friend mine
joy,matter old am anytime leaf blower air blast closest person me Brings
fear,  man proper genius
fear,thought failed examination
surprise,Im mean af person Im buying something guess
joy,passed DMCT year spend math hour absolutely library
sadness,conscious men wnat goal have: sex important
surprise,  Hoe kan je gemakkelijk een gitaar namaken van karton
joy, special day  survive year  rest smooth sailing 
surprise,aunt coming visit nice be
sadness,terribly sad 
sadness,days followed Brackenbury s hasty departure  Edward s despondency increased 
surprise,  ransacked meadows/brewhouse night worth opened wallet though
anger,father promised bicycle birthday birthday forgot promised me
anger,Auguste shot indignant glance 
fear,losing spark haunts everyday
anger,worked classmates project anxious project partners showed concern meetings project classmates pay attention read books argued irrelevant questions meeting hours main theme discussed wasted time reach compromise classmates avoided work responsibilities value projects one
fear,FEAR = False Evidence Appearing Real
joy,son returned mountaineering  healthy body soul
fear,water level rising near home #Flooding
joy,way clean mess Urban today
anger,kid brother broke reading spectacles
anger, Mary  ’ horrible 
fear,close eyes wont wake up  #truth
neutral,’  ’ look good 
disgust,ewww got nasty ass default like cute
joy,doomed forget something shitty luck
fear,america new north korea china germany russia were military controlled selfspying censoring paranoid antagonists
sadness,toot trumpet clown enormous sorrowful eyes coming ringside seat wanted run away 
joy,lifeguard training tomorrow evening
sadness,earlier friend spreading negative rumours me
anger,newcomers feel coldshouldered local population occasions resentful tribal clannishness 
disgust,understand mood disgruntled entitled EGM 
joy,Seein folks overcome limitations seeing DREAM capacity compass
joy,birthday christmas right corner idea want
sadness,funny people follow eventually unfollow followed back
surprise,aww moms old special ed students like 6 years ago came visited her soo cute day :)
sadness, sad pathetic  m miserable 
joy,Bought xmas gifts today love christmas time
anger, mean  Rachel   mother asked slowly  ignoring husband s indignant look 
joy,type texts baby fine (moving amp heart beating) O theyve given RH shot safe BABY FINE
joy,thanksgiving: spending night emegency room
surprise,  harry potter dressed professor hates sex
sadness,mom asked cole caught deer year mom kill deer
joy,Today off Time work crutches tomorrow
joy,(MIRACLE SCRIPTURE 700 BC) Behold virgin shall conceive amp bear Son amp shall Immanuel Is 7:14
fear,Talks Going Well Pissed Play Acting Playing Dangerous Games #FLASHMEN #skynews #skypapers
fear,morning hard graft left 8 days sun food bevy need plane journey scary shit like
anger,saw brother attacked anything
fear,s concerned happen  
sadness,Im happy   says thankful best friends
sadness,wondered felt deep sadness 
fear,Good day gym bringin leavin
joy,  wear crown cuz deserve it
sadness,Andare fare shopping e tornare mani vuote casa
neutral,irritable  understand program  thats 
joy,holiday seeing lanscape Girona
anger,Pretty sure Kiss play 3 different songs theyre TGIF remix pisses off Gwetta Agwilera
joy,Minute shards glass slashed Rohmer s ecstatic face 
disgust,quotwas period poop definitely smelled like period poopquot #ihatemyfamily
anger,Waiter 
fear,Intelligence puts man throne Faith puts God there
joy,Getting parttime job
anger,believe wedding present  Joanne  hardly use 
anger,satisfy light leave eyes know longer draws breath
anger,Hoskyns  year live  angry university 
surprise,  ik wou jou heel persoonlijk benoemen dus die nog de maak #Present #wachtmer
fear,losing people love
fear,passengers looked horrified 
joy,love smell fella post
joy,bomb physics test
joy,good morning world
sadness,merciful wave closing  healing despair 
sadness,Relatives death
fear,☁☾ quotFEAR Night Long but F H Makes Fine Pillowquot ~unk
joy,Eating candy cane season
sadness,considered world s beautiful women  yesterday line etched Britt Ekland s face told story personal anguish 
fear,giving seminar large audience
sadness,wish london trafalgar square   wish meet
sadness,yes  accept childless marriage  fight night 
disgust,smh im sad basketball look forward march madness
joy,gotta dish detergent tub dat bubble action
joy,work working homework
anger,Brazil  example  miffed summit nt scheduled date inauguration new president month 
fear,son fell cot age 5 months nervous thought cause defects head
joy,excited party party tomorrow night besties miss Emma Rose :) xxxx
fear,saw frightened horses edge steep drop 
fear,physically assaulted sexually abused year ago feeling away intact alive produced fear
sadness,fact ashamed felt sadness
sadness,lol people people stop Arashis FNS mic situation ok point anyways cant find TMRs perfs
sadness,  know whats going on Things folded
joy,Pretty excited Orgelbau Dillingen chosen (unanimously) build new organ church
fear,feeding premature baby (7 months) baby chocked working childrens ward thought killed baby
fear,reason lot devotion  
disgust,Holy shit weighed time college 13 pounds semester Pure
sadness,brothers friends house nothing happens come home
sadness,Totally  marriage 
neutral,
sadness,School shootings need stop know quick fix this schools supposed safe
anger,  intrigue me Plus campaign ending anticlimatic nth degree Uninstall game
surprise,Today: eat work paper work lab work paper finish lab eat finish paper
sadness,wish black hairit eaiser find hair weave  :(
sadness,dad campfire chocolate grahmcrackers marshmallowswhat this lt/33
joy,Im sewing walk downstairs pot coffeeand find Christmas decorating swing Gotta love daughters
surprise,okdus de gouden verf van de action stiekem zilvergoed om te weten maar vertel het voortaan van tevoren
fear, South Africa worried easily  close line  know Carling Jeremy Guscott quickest world 
sadness,massive Busted sesh fuck break up
fear,edge slipping winning
surprise,freshcame home new flat screen TV
neutral,
anger,reason Star cross 
surprise,Car k9 searched hell find anything
sadness, sad afforded welcome given Beirut hostages   told deeply moved audience AGM month 
joy,course passed good marks subjects previously failed
fear,Goodbye Farewell Long
fear,FUCK NIGGA FEAR fags CAUSE FEAR GANGING amp DESTROYIN SLUTTED FOR #HARD
joy,Hate trains ran missed second saw drive away half hour wait oh
anger,lights WiFi fucking way making dinner
anger,turned Fran  faint annoyance crossing face 
sadness,pour moi car je nai pas beaucoup de followers :(
neutral,’ damage 
joy,Wow sounds interesting  Excuse bit nosy  old 
fear,turn blind eye  Change whats programmed inside
sadness,realized Im allergic shampoo Great
sadness,prolly gonna happen morning gtlt ugh idc anymore :/
disgust,sickened learn Government acquiesced EC leaders issue Edinburgh Summit  sake subsidiarity  directive dropped 
anger,experience emotion day angry day got pulled done happened school days spoken word class monitor written board remark callender signed parents remark resulted spanked
disgust,gag wenever hear parents quotsexciquot =/
sadness,told Barbara  felt depressed 
surprise,Pizza Hut delivered pizza 20 minutes early best pizzas Ive there
anger,Oh  food bad  soup cold meat  ur  like leather 
sadness,moment realize lost person needed admit
joy,Listening Eternal Joy Division Sad mournful beautiful mixed together division #Ian Curtis
fear,Je fais stalker sur par un mec de lâge de mon père je lai refusé en ami mais il like tout ce que je fais en public
joy,Anyway time settle nice plane ride lots Russia reading
sadness,  mo said im allowed picked school tomorrow  didnt today ):
sadness,  love caitlyn sad miss switch die
joy,Homework rest nightoh lol
joy,solid workout indoor Time hw half asleep #tired
disgust,anymore care wiley body hair shit place
anger,Wow rush adrenalin while
fear,  lo gak takut pembunuh Yang lo takutin adalah hobinya dia kalo lagi bete
joy,brother gave watch
neutral,OK 
fear,Wonder week home feel
fear,im discovering band missed 15 years ago wishing sheltered growing up
sadness,looked eyes saw terrible pain inconsolable grief 
surprise,things ruin day real quick
fear,domestic drones anyway heard drone attacking wrong target ever thats who
joy,Im sure ill sick next babies coughing amp sneezing me
anger,want sleep Im bad mood right now #Sadness
surprise,  GOOD family pictures whats upall kids grammy u know cant wait
fear,  goin bring it u want corners coz u want end today then #nomistakestoday #3morepoints
neutral,guy 
joy,sore throat amp feel sick stomach
surprise,Amir comment Valiant today
fear,voice tetchy  alarmed 
sadness,friend badly hurt
joy,child born
joy, m delighted left house   Julia told Margaret 
surprise,Cherche de pour pour ce samedi soir  #xADes #idées  MERCI 
fear,“  afraid tomorrow seen yesterday love today #less”
surprise,good idea smoke narrate act poem class
sadness,honestly spent wayyy money Im impulse buyer
disgust,Newsnight making SICK hearing rioters justifying actions
anger,surname brother different ours grinned home provoked pleasure it angry
anger,teacher secondary school forced darling marry him girl tried refuse parents leave alone
anger,came home day discovered sister borrowed car gotten accident it entire bumper destroyed
anger,Unfair unjust attitude person close me witness of caused anger me
shame, s  playing infant games   demanded  gratified flush embarrassment Tristram s cheek 
fear,Leo demanded wrenched stare terrorstricken face 
joy,Letting Jesus control emotions ie ill feeling
joy,garage bunch drunk people
fear,received representations matter aware disquiet groups hon Gentleman described 
joy,God clearly heard asked yesterday surprise week Grabe talaga love Niya Im tears :quotgt
joy,Saturday duties hours people wanted see
surprise,  real world rapist use lube
sadness,realizing girlfriend fact started process breaking up
sadness,despondent Renault worker remarked   came close new  
sadness,received brand new hate SIM card support tells know whats wrong :(
joy,officially hate you guess
fear,  Free Expression Revolution
joy,Started day building snowman taking pictures freshly fallen snow Michael Buble amp cup tea
sadness,Oh  computer crashed 
sadness,horrible  thing 
anger,ooh look copy pasting jokes websites im dick
sadness,little bit soap entered eye taking bath :(
anger,fuck going school means look face
joy,3 hour drive airport Wait airport 2 hours 3 hour plane ride Followed hour drive home #howilovetraveling
anger,mau diet curcol di twitter pasti gagal yg tadi makan dikondangansekarang makan pecel lele #LOL ancur sudah diet ku #LOL
joy,Eating kitchenhm time month :/
fear,concerned room left Durance wished 
joy,Great concert w   tonight Amazing crowd yall tomorrow night
joy,Looking forward weekend apart working  
joy,younger dons ecstatic election 
joy,  Tis here Worst city NZ it Grass seed atm Howling NEer blowing air Jan itll pine pollen
sadness,  paris dream landmust cold thereits mid november COLD HERE weather :(
sadness,know  mom  Im sad 
anger,Mum stingy water Bacardi coke save Barcadi
surprise,  Danny excited going pop tomorrow passing score more Christmas budgeting FUN
joy,Simplicity lives better Complicity suck joy life
joy,Enjoy Friday morning people
anger,left broken glass  tyre marks road exasperated shop owner 
neutral,want improve handwriting  Ive practiced weeks  happened   handwriting bad 
joy,  Pssssh Were looking snow today Maybe sheet ice too
sadness,Well cut Jay Cutler fantasy team
surprise,awkward moment date look realize pants zipped
sadness,  attractive people met year mo takes away  
anger,looked away  bitter anger eyes 
surprise,finished bought presents ill finish poem tonight finish  when #OOPS
anger,hate people shit taste music Seriously shut up
surprise,Despite liking appearances GREAT INDIAN COMEDY always despite that PURBI JOSHI  DAMADAMM
fear,year intend drive snow ESPECIALLY motorway RESPECT mother nature
neutral,Certainly 
anger,OFFA release details new Access Agreements  Lots new fee waivers (£37m) great Treasury great students
fear,talk kids certain looks know exactly do
anger,  want anymore  
sadness,know  poorly test 
neutral,OK  Bye 
surprise,Guess forgot check weather todayI idea supposed snow #wherearemyuggs
neutral,
neutral,bet 
anger,  Horrible PI callagain Lions up Refs decided happen
joy,Right peeps im off got sisters ice skating
sadness,Sorry  ’ know rule punching 
joy,Riot police needed quell pitch invasions  200000 ecstatic Leeds United fans took carnivalstyle street party yesterday team paraded League Championship trophy 
joy,got engaged boy choice
surprise,Despite exggerations smooth itblack humour crazy subplots FRIEND PINTO
sadness,Determinedly worries root cause despondency tried think cheerfully 
joy,Slice life Azumanga Daioh good relax tool busy stressful days
sadness,reason sad   said  looking kindly 
sadness,way Inter Rail board ferry Stockholm father called 7 oclock tell uncle died seeing final journey days
joy,Henry Tyler described happy woman  afterward unwell 
sadness,Totally woke thought Christmas morning
joy,nice 
sadness,  left gonna Christmas cause birthday party
anger,guy sidewalkHe new boxes  Panasonic video camera boxesHe said rid quick 
anger,Ive situation responsibility employee habit late came late promising work minutes arrived 3 hours later drinking
anger,Dear God person Whos mind Die (Ameen)
surprise,found idea whichd require draw 24 different pictures days :D Oh boy fun
joy,thought waking work tomorrow makes feel SICK
joy,America 
joy,Silver lining today working yummy dinner followed icecream Lakeview
surprise,bad check twitter seconds basis know people #whatshespregnant
fear,found problem homework solved tried best
joy,computer magically broke getting readyyy
fear,Im afraid viruses now watch video
joy,Love highest vibration Universe sends shivers spine #Quote #love #peace #joy
neutral,company decided cancel trip Hong Kong 
surprise,Trois jeunes engagés politiquement à gauche pour le Globalement daccord sur les questions économiques
surprise,feels good @ school
surprise,sweet lady market complimented outfit said cute probably g/f
fear,know scary realization going paycheck Yeah that Payday painful 13 days away
sadness,Bathsheba watching expression closely  miserable 
surprise,break   house town birthday cake amp know
joy,headache days straight
joy,k im homework dont want spare start debate myself
sadness,Today wrote quottodoquot list and ooonly thing gone donewas actual writing list
sadness,learn computer broken March going depressed
disgust,  ew hate chapel hill mall
neutral,
joy,  fact spend Christmas 90yr old Nana brings :)
joy,things well were elatedWhen hardships come were depressed true transcends wave circumstance
sadness,McColgan  slumped deep dejection  said :  bad race 
surprise,  Yeah yeah lol ampamp know quotleftquot come
joy,shit pants Pure gravy 100%
joy,#creation joy creation Know nature joy
sadness,cell phone low battery know charger
surprise,finally dusted concentrate xmas card design sleep
sadness,got christmas presents open
fear,song like RT   Drake writing real
sadness,uncle died loved much sad felt totally helpless
joy,nap 6am9pm days
joy,  relaxing hot bubble bath complete pamper session brings
surprise,love good surprise morning
anger,feet  chair toppling  face livid  knuckles whiteridged aimed 
fear,naughty sent away Mum Dad family fostered age 5 Mum Dad 6 legally adopted 14
disgust,Facebook meI hate u u judged ppl r suppose ur quotFriendsquot thats stick Twitter
anger,thought good friend tried lie times time height impudence promised come home didnt felt sense anger insult
joy,Sitting room personal growth laughter
joy,home 10 year olds mountain dew
sadness,got lost coming  guess know town 
anger,Im sure words express feel game Like Im speechless #lordhelpme
sadness,heartbroken Daniels watched going  moved break golden rule speaking spoken 
sadness,Wishes   watch friends me Late night rerun tradition
joy,Going bed(: getting Christmas pictures tomorrow
surprise,nog stukje van gedicht maken nog steeds hahaha
sadness,Ando Knee Injury till Feb :/ #mufc
surprise,Mindblowing information coming mindblowingly soon thats right NOLA New Years details coming TONIGHT
joy,4 hour car ride
joy,E domani parodia di Breaking Dawn Grazie degli spoiler Gu
surprise,  Im usual bit stalking Road works woke up sunny bodmin whatsapp babe
joy,Wearing new Maroon shirt (Thank Mom amp Dad awesome surprise) Eating chili Visiting w/ parents cook
surprise,Klaar wachten op mama dan naar school bij quot
sadness,Summer Katie Bonnie life Bonnies life sucks Haha laying sad spots
anger,Anne felt indignant Joe  thought  realised good sense warning 
sadness,anguished princess  says Morton  told friend :  price public life price longer willing pay  
anger,given exam thought measure ability knowledge subject
neutral,wish store close open 24  house day 
anger,Wheeler s fine face flushed annoyance laughed 
joy,theres tremendous power speak blessings wealth success life
fear,babe MIA  think crying earlier caused stress  hope dumb
anger,went lecture cancelled second time negative attitude lecturer
anger,Yes  probably  fair 
fear,#manipulate ones actGod gives freedom #ChooseTheGOODInspite evilShow #NoFEAR DEVIL #selfWILL
disgust,listened radio long 5 mins it know again
joy,Morning Weather playing today Im dentist later
disgust,wssu looking sorry ass excuse volleyball game LOL smh
joy,strained  happy smiles lie awful knowledge Alex saw killer  young understand going 
fear,  norris green bad remember time got stuck ghetto near sainsburys
fear,f*ckin things supposed gone time year SPIDER
joy,Joy unspeakable joy overflowing well tongue tell Joy unspeakable joy rises soul lets go
fear,Im terribly nervous 
sadness,Everytime hear East Coast family makes miss usual
sadness,  Ouu Ouch hurts Dave does Im going cry corner :(
joy,head killing ampamp gotta study hard tests tomorrow
anger,sports fishermen catch gulls instead fish hooks mistake makes angry
sadness,  No work like that supposed text TODAY day early X(
joy,weeks now ill b hands Spanish bitch
joy,time long bath Inspector Morse think pint tea
joy,Oh  interesting  Larry Rocky 
joy,soon results interview nearly 9000 people attended regions Malawi joy came hearing radio people selected undergo Medical Assistant training LSHS
sadness,Im sorry  thats bad luck 
sadness,Yeah bad  actually think know 
disgust, undo revulsion tonight s business 
surprise,pill dick thats going stop busting asain beavers lips owa Skegness #consensual
fear,Niggas Keeping MOUTH aint saying face taking lil guys  #Winning
sadness,sooooooooooooo phone broken wanna reply texts
joy, leave Ill miss 
sadness,  happens pay card theres balance left pay cash whatever stars
joy,Making Money Event 
surprise,  bieber bieber party rockers Nice big oh ur sexy u know
fear,sure boys wuld soon start baffin toilet sefnew hall boys
joy,iPods dying cant find charger
anger,told Dana longer bear atmosphere city  rightwing bullies  Falangists  deadening work teaching bored resentful students 
joy,gave notice vacate apt morn looking fwd telling relatives single poss homeless
sadness,know  said love  
joy,blackberry tom :D woo :$
joy,Squashed fat people fallen asleep
joy,cant wait meet Matts parents tomorrow new boyfriend Eh kind boyfriend )
joy,roanoke night christmas brady bunch
fear,quotfear  false evidence appearing real telling fear quot   #mixtapecomingsoon
fear,country walked away night Suddenly moved sharply able was
sadness,  cant maybe ill luck tomorrow lt3 lt3 knwow hat ill xtrafactor tbh
joy,Good luck test tomorrow  Well crossing fingers 
surprise,#dtv iemand getrokken die ajaxspullen vraagt heeft iemand n creatief idee hoe ik een brandblusser kan maken)
anger,teachers love pile homework right Christmas break dont
fear,Crowe  watching carnage unfold end increasing horror  unfurled strokes class attempt ease situation 
joy,Works gunna joy weeek 23 hours
fear,wait til feel equipped share God lives step amp bring hope have
anger,witnessed episode christmas rage Wooooo hoooooo ♥ watching people lose time year
joy,money motive feel sorry you
joy,dressed Need write list long piece string ohhh need find victorian Costume Sat amp Sun
joy,passed BA exams
surprise,Leino earned suspension stupid Bourdon ignored Really #Sabres #Flyers
surprise,shows Christmas list Christmas list
fear,  Cats afraid water Water=rain Rain=storms Storms=LIGHTNING Panthers Lightning #gobolts
fear,me match night vs Knew great blew away
disgust,Ugh  illiteracy rate Memphis  
sadness,dark woods came black man  leading horse arm  tall grey hound saddest face seen creature 
disgust,treadmill stress test
fear,Adam: afraid Gen 3:10 ~ Abram: afraid Gen 15:1 ~ Sarah: afraidGen 18:15 ~ Jacob:I afraid Gen 31:31
fear,Umm  think water broke  hospital 
neutral,enjoy making movie  heard stories disagreement actors director 
anger,Clive Greenacre agoraphobic wife started express anger callous behaviour  amazed sexual demands started 
surprise,music Rick Perrys antigay antinonChristian ad composed Aaron Copland gay Jewish #weareeverywhere
sadness,      saw santa mall yesterday U needa 10 pic him
neutral,
neutral,’ 
joy,Working double today
surprise,hate finding watch Netflix makes cry expecting to #whathasmylifecometo
neutral,sure  ask directions coffee shop 
anger, guys worked hard  beautiful 
joy,boyfriend told loved gave impulsive kiss
fear,if u sum bout sum u bout me
joy,thanksgiving comes Christmas music
fear,Hearing strange noise biology building
neutral,like return book 
joy,trade feeling world carrying 4lb baby :D 75 weeks go
fear,night walk home past forest Once somebody got stabbed forest imagine attacking hurry up
neutral,
fear,“  afraid tomorrow seen yesterday love today #less”
sadness,failed Standard 8 Examination time
sadness,sister coma 3 months (due train accident) brainfunctions disturbed able walk hardly talk
anger,father phoned come home vacation longer time look garden animals
anger,Wow bomb RT   stolen Hate
anger,tell girlfriend 
anger,felt wave exasperation rise 
anger,Yes  ’  ’ hungry 
anger,realized far language course longer catch others
sadness,brother (5th family) passed away
joy,Certainly 
fear,horrified look told Daisy sunk pasterns 
joy,Check moms closet  Ill bet 
sadness,wish motivation homework dont
sadness,certain job Lillehammer wanted much
joy,Alain s mother finally went inside rueful shakes head pleased look face  Jenna decided risk 
surprise,gym GRIND OD week Gotta ready Friday night #comecheckitout
fear,RT“  afraid tomorrow seen yesterday love today #less”
anger,mean think funny uptight people normal person rage Lol funny anyways
joy,quot99% taking streets Madison Madrid “No pay crisis”
joy,“  Studying history exam day #wasteofagoodnapday #nooneneedshistorytobeatrophywife”
joy,Find makes wake morning tie long lives live
joy,Kanye West kinda lyrical genus
joy,Athelstan gasped excitement went round rouse coroner 
fear,“To live losing lose point life” — Malcolm #Forbes
anger,colleague rude understand subject discussing
neutral,42
surprise,  pff ik wou dat ik ook al klaar was Het idee bestaat al lang nu nog de tijd vinden om het te maken En dankjewel
anger,  u cant hav #sadness #depression r actually ur thought interpretations u moment follow me
anger,breakup relationship event upset/sad angry maybe 2/3 weeks later
